path,before_bytes,after_bytes,after_path,action
"Peloton x Michigan/Bento/img_8_black.jpg",2435704,248598,"Peloton x Michigan/Bento/img_8_black.jpg",jpg-recoded
"Peloton x Michigan/Bento/img_2_black.jpg",1952536,158035,"Peloton x Michigan/Bento/img_2_black.jpg",jpg-recoded
"Peloton x Michigan/Social/Michigan/Social-1.png",3247284,1575336,"Peloton x Michigan/Social/Michigan/Social-1.png",png-optimized
"Peloton x Michigan/Bento/img_1.jpg",1604283,146740,"Peloton x Michigan/Bento/img_1.jpg",jpg-recoded
"Peloton x Michigan/Bento/img_6.jpg",1293260,115543,"Peloton x Michigan/Bento/img_6.jpg",jpg-recoded
"Google x Freeletics/freeletics-white-portrait.jpg",743428,377239,"Google x Freeletics/freeletics-white-portrait.jpg",jpg-recoded
"Peloton x Michigan/Bento/img_7-1-scaled.jpg",600063,265037,"Peloton x Michigan/Bento/img_7-1-scaled.jpg",jpg-recoded
"Google x Freeletics/freeletics-white.jpg",693258,376226,"Google x Freeletics/freeletics-white.jpg",jpg-recoded
"Google x Freeletics/freeletics-devices.jpg",342143,107085,"Google x Freeletics/freeletics-devices.jpg",jpg-recoded
"Google x Freeletics/freeletics-flow.jpg",233788,80463,"Google x Freeletics/freeletics-flow.jpg",jpg-recoded
"Thumbnails/VirginSport.jpg",287888,186354,"Thumbnails/VirginSport.jpg",jpg-recoded
"Thumbnails/CDV C-Score.png",907757,852417,"Thumbnails/CDV C-Score.png",png-optimized
"Thumbnails/CDV Footwork.png",1062652,1037724,"Thumbnails/CDV Footwork.png",png-optimized
"PelotonReviews/key-visual.jpg",304875,304535,"PelotonReviews/key-visual.jpg",jpg-recoded
"VirginSport/playbook-05.jpg",135766,135557,"VirginSport/playbook-05.jpg",jpg-recoded
"Hero/Desktop/GoogleFreeletics.jpg",171034,170953,"Hero/Desktop/GoogleFreeletics.jpg",jpg-recoded
"Self/Portrait_AI.jpg",158982,158975,"Self/Portrait_AI.jpg",jpg-recoded
"PelotonAR/exp4-mobile.jpg",54143,54143,"PelotonAR/exp4-mobile.jpg",skipped (already done)
"PelotonAR/exp1-mobile.jpg",120674,120674,"PelotonAR/exp1-mobile.jpg",skipped (already done)
"PelotonAR/exp3-desktop.jpg",95257,95257,"PelotonAR/exp3-desktop.jpg",skipped (already done)
"PelotonAR/exp3-mobile.jpg",161620,161620,"PelotonAR/exp3-mobile.jpg",skipped (already done)
"PelotonAR/exp4-desktop.jpg",79940,79940,"PelotonAR/exp4-desktop.jpg",skipped (already done)
"PelotonAR/exp1-desktop.jpg",174087,174087,"PelotonAR/exp1-desktop.jpg",skipped (already done)
"PelotonAR/exp2-mobile.jpg",174164,174164,"PelotonAR/exp2-mobile.jpg",skipped (already done)
"PelotonAR/exp2-desktop.jpg",88069,88069,"PelotonAR/exp2-desktop.jpg",skipped (already done)
"PelotonAR/Bento/Tread-Mat.png",1128632,1128632,"PelotonAR/Bento/Tread-Mat.png",skipped (already done)
"PelotonAR/Bento/Tread-Close-up.png",990872,990872,"PelotonAR/Bento/Tread-Close-up.png",skipped (already done)
"PelotonAR/Bento/Tread.png",500644,500644,"PelotonAR/Bento/Tread.png",skipped (already done)
"PelotonAR/Bento/Tread_TopDown.png",372579,372579,"PelotonAR/Bento/Tread_TopDown.png",skipped (already done)
"PelotonAU/design.jpg",193145,193145,"PelotonAU/design.jpg",skipped (already done)
"PelotonAU/wireframes.jpg",104171,104171,"PelotonAU/wireframes.jpg",skipped (already done)
"PelotonAU/landing-02-product.png",798968,798968,"PelotonAU/landing-02-product.png",skipped (already done)
"PelotonAU/landing-04-categories.png",110480,110480,"PelotonAU/landing-04-categories.png",skipped (already done)
"PelotonAU/keyvisual-3.jpg",161545,161545,"PelotonAU/keyvisual-3.jpg",skipped (already done)
"PelotonAU/keyvisual-2.jpg",161622,161622,"PelotonAU/keyvisual-2.jpg",skipped (already done)
"PelotonAU/workshop-miro.jpg",107365,107365,"PelotonAU/workshop-miro.jpg",skipped (already done)
"PelotonAU/landing-01-hero.png",731286,731286,"PelotonAU/landing-01-hero.png",skipped (already done)
"PelotonAU/landing-03-valueprops.png",1194578,1194578,"PelotonAU/landing-03-valueprops.png",skipped (already done)
"VirginSport/playbook-01.jpeg",946128,946128,"VirginSport/playbook-01.jpeg",skipped (already done)
"VirginSport/playbook-07.jpeg",386230,386230,"VirginSport/playbook-07.jpeg",skipped (already done)
"VirginSport/playbook-06.jpg",97307,97307,"VirginSport/playbook-06.jpg",skipped (already done)
"VirginSport/playbook-04.jpeg",1083569,1083569,"VirginSport/playbook-04.jpeg",skipped (already done)
"VirginSport/playbook-05.jpeg",1750142,1750142,"VirginSport/playbook-05.jpeg",skipped (already done)
"VirginSport/playbook-02.jpeg",821398,821398,"VirginSport/playbook-02.jpeg",skipped (already done)
"VirginSport/playbook-03.jpeg",180640,180640,"VirginSport/playbook-03.jpeg",skipped (already done)
"VirginSport/Bento/runhackney-routemap.jpg",342704,342704,"VirginSport/Bento/runhackney-routemap.jpg",skipped (already done)
"VirginSport/Bento/modules-cta.jpg",146706,146706,"VirginSport/Bento/modules-cta.jpg",skipped (already done)
"VirginSport/Bento/modules-racepack.jpg",61883,61883,"VirginSport/Bento/modules-racepack.jpg",skipped (already done)
"VirginSport/Bento/modules-festivalscheduleplanner.jpg",36910,36910,"VirginSport/Bento/modules-festivalscheduleplanner.jpg",skipped (already done)
"VirginSport/Bento/modules-app.jpg",59217,59217,"VirginSport/Bento/modules-app.jpg",skipped (already done)
"VirginSport/Bento/modules-navigationbar.jpg",34311,34311,"VirginSport/Bento/modules-navigationbar.jpg",skipped (already done)
"VirginSport/Bento/medal.jpg",72993,72993,"VirginSport/Bento/medal.jpg",skipped (already done)
"VirginSport/Bento/eventsection-desktop.jpg",236598,236598,"VirginSport/Bento/eventsection-desktop.jpg",skipped (already done)
"VirginSport/Bento/modules-headers.jpg",65814,65814,"VirginSport/Bento/modules-headers.jpg",skipped (already done)
"VirginSport/Bento/modules-festivalschedule.jpg",68444,68444,"VirginSport/Bento/modules-festivalschedule.jpg",skipped (already done)
"VirginSport/Bento/modules-classes.jpg",92327,92327,"VirginSport/Bento/modules-classes.jpg",skipped (already done)
"VirginSport/Bento/introsection-desktop.jpg",244977,244977,"VirginSport/Bento/introsection-desktop.jpg",skipped (already done)
"VirginSport/Bento/website-overview.jpg",265605,265605,"VirginSport/Bento/website-overview.jpg",skipped (already done)
"PelotonReviews/section4-submission.jpg",109124,109124,"PelotonReviews/section4-submission.jpg",skipped (already done)
"PelotonReviews/section4-flow-diagram.png",102199,102199,"PelotonReviews/section4-flow-diagram.png",skipped (already done)
"PelotonReviews/key-visual.png",2576881,2576881,"PelotonReviews/key-visual.png",skipped (already done)
"PelotonReviews/section1-reviews-module.png",370947,370947,"PelotonReviews/section1-reviews-module.png",skipped (already done)
"PelotonReviews/section3-qa-design.png",397145,397145,"PelotonReviews/section3-qa-design.png",skipped (already done)
"PelotonReviews/section3-qa-flow.png",212546,212546,"PelotonReviews/section3-qa-flow.png",skipped (already done)
"PelotonReviews/section4-write-review.png",174499,174499,"PelotonReviews/section4-write-review.png",skipped (already done)
"PelotonReviews/section1-overview.jpg",142538,142538,"PelotonReviews/section1-overview.jpg",skipped (already done)
"PelotonReviews/section2-reviews-page.png",661528,661528,"PelotonReviews/section2-reviews-page.png",skipped (already done)
"PelotonReviews/cta-thumbnail.jpg",380793,380793,"PelotonReviews/cta-thumbnail.jpg",skipped (already done)
"Self/Portrait_AI.png",4309098,4309098,"Self/Portrait_AI.png",skipped (already done)
"Self/Futuristic Portrait Art.jpg",57208,57208,"Self/Futuristic Portrait Art.jpg",skipped (already done)
"Self/Portrait_Normal.jpg",168574,168574,"Self/Portrait_Normal.jpg",skipped (already done)
"Nike/tile-10.png",523821,523821,"Nike/tile-10.png",skipped (already done)
"Nike/tile-11.png",593285,593285,"Nike/tile-11.png",skipped (already done)
"Nike/tile-13.png",532656,532656,"Nike/tile-13.png",skipped (already done)
"Nike/tile-07.png",579682,579682,"Nike/tile-07.png",skipped (already done)
"Nike/tile-06.png",379206,379206,"Nike/tile-06.png",skipped (already done)
"Nike/tile-12.png",477229,477229,"Nike/tile-12.png",skipped (already done)
"Nike/tile-16.png",384346,384346,"Nike/tile-16.png",skipped (already done)
"Nike/tile-15.png",505384,505384,"Nike/tile-15.png",skipped (already done)
"Nike/tile-14.png",297044,297044,"Nike/tile-14.png",skipped (already done)
"Nike/tile-08.png",779898,779898,"Nike/tile-08.png",skipped (already done)
"Nike/Bento/headers-2019.jpg",71050,71050,"Nike/Bento/headers-2019.jpg",skipped (already done)
"Nike/Bento/feed-features-1.png",890462,890462,"Nike/Bento/feed-features-1.png",skipped (already done)
"Nike/Bento/app-key-features.png",742175,742175,"Nike/Bento/app-key-features.png",skipped (already done)
"Nike/Bento/app-features-2.png",740238,740238,"Nike/Bento/app-features-2.png",skipped (already done)
"Nike/Bento/nike-plus-app.jpg",66426,66426,"Nike/Bento/nike-plus-app.jpg",skipped (already done)
"Nike/Bento/nike-mobile.jpg",118628,118628,"Nike/Bento/nike-mobile.jpg",skipped (already done)
